epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66095,2.58243,3.67072,3.10366,0.01785,0.93333,0.06419,0.01377,1.33264,3.71397,1.38572,6.666e-05,6.666e-05,6.666e-05
2,4.11551,2.46571,3.62972,2.92901,0.00864,1,0.2585,0.14773,0.56647,3.49841,1.03244,0.000143,0.000143,0.000143
3,5.57934,1.68296,3.30242,2.26432,0.00592,1,0.48579,0.32937,0.57787,3.4415,1.04674,0.0002178,0.0002178,0.0002178
4,7.04145,1.44083,3.06317,2.15553,0.00537,1,0.47176,0.37893,0.49637,3.17751,0.9437,0.000291061,0.000291061,0.000291061
5,8.47405,1.29343,2.80096,2.02009,0.00551,1,0.80587,0.66342,0.52016,2.87423,0.86318,0.000362781,0.000362781,0.000362781
6,9.92005,1.24908,2.63883,1.93064,0.0063,1,0.47919,0.35695,0.69703,2.83025,1.09741,0.000432962,0.000432962,0.000432962
7,11.413,1.24809,2.50479,1.92512,0.00807,1,0.47767,0.35081,0.68977,2.86665,1.14604,0.000501603,0.000501603,0.000501603
8,12.8563,1.22938,2.31862,1.9046,0.01158,1,0.51239,0.38498,0.99274,2.80788,1.45057,0.000568704,0.000568704,0.000568704
9,14.3071,1.29598,2.31786,1.97607,0.26451,1,0.62809,0.53434,0.58046,2.5059,1.07916,0.000634265,0.000634265,0.000634265
10,15.7391,1.21015,2.22027,1.8374,0.61418,0.64338,0.62115,0.51928,0.58136,2.19083,1.00747,0.000698287,0.000698287,0.000698287
11,17.1807,1.26334,2.21078,1.94637,0.27929,0.60166,0.61099,0.48962,0.73237,1.87577,1.38939,0.000760768,0.000760768,0.000760768
12,18.6224,1.1395,2.19673,1.82265,0.47138,0.74341,0.59931,0.5121,0.76824,2.06619,1.50131,0.00082171,0.00082171,0.00082171
13,20.0392,1.08849,2.09177,1.76267,0.30929,0.95932,0.51685,0.43553,0.82451,1.86301,1.34138,0.000881112,0.000881112,0.000881112
14,21.4646,1.14953,2.0941,1.84304,0.30929,0.95932,0.51685,0.43553,0.82451,1.86301,1.34138,0.000938974,0.000938974,0.000938974
15,22.8929,0.97558,1.98211,1.71002,0.35949,0.7,0.60464,0.4511,1.15925,1.95354,1.79812,0.000957015,0.000957015,0.000957015
16,24.325,1.04322,1.98253,1.73339,0.38812,0.69786,0.61267,0.5514,0.54525,1.78734,1.03658,0.000946016,0.000946016,0.000946016
17,25.7521,1.00186,1.82984,1.70415,0.48045,0.67534,0.74865,0.66742,0.63068,2.26352,1.05859,0.000935018,0.000935018,0.000935018
18,27.2049,0.99169,1.7819,1.68511,0.64928,0.73333,0.69621,0.53962,1.00139,2.25642,1.53646,0.000924019,0.000924019,0.000924019
19,28.6383,0.96803,1.85974,1.71213,0.49627,0.95653,0.65642,0.5887,0.62192,2.97539,1.154,0.00091302,0.00091302,0.00091302
20,30.1494,0.97818,1.83693,1.71242,0.57124,0.98463,0.78179,0.69603,0.51969,3.96653,0.99182,0.000902021,0.000902021,0.000902021
21,31.588,0.9486,1.83863,1.68467,0.58145,0.80532,0.86643,0.7533,0.55629,3.09885,0.91915,0.000891022,0.000891022,0.000891022
22,33.0204,0.9894,1.87255,1.71165,0.58145,0.80532,0.86643,0.7533,0.55629,3.09885,0.91915,0.000880023,0.000880023,0.000880023
23,34.4376,0.90694,1.76767,1.64535,0.407,0.94785,0.82357,0.73022,0.53364,2.40681,0.92875,0.000869024,0.000869024,0.000869024
24,35.8572,0.91252,1.70791,1.62827,0.73427,0.66667,0.75678,0.67756,0.54951,2.35754,0.98441,0.000858025,0.000858025,0.000858025
25,37.2856,0.9454,1.78926,1.67041,0.7266,0.66667,0.78179,0.66766,0.58971,2.19501,0.98937,0.000847026,0.000847026,0.000847026
26,38.7117,0.79493,1.65706,1.55403,0.3662,0.80278,0.78179,0.67146,0.51892,2.18112,0.86908,0.000836027,0.000836027,0.000836027
27,40.144,0.99644,1.6898,1.73353,0.68264,0.66667,0.71683,0.65997,0.48352,3.05171,0.87219,0.000825029,0.000825029,0.000825029
28,41.5647,0.95421,1.69848,1.61696,0.71114,0.66667,0.72176,0.66257,0.54402,3.82669,0.90318,0.00081403,0.00081403,0.00081403
29,42.9649,0.88045,1.63561,1.59509,0.41287,0.81439,0.77389,0.62206,0.62014,3.13296,1.02019,0.000803031,0.000803031,0.000803031
30,44.4418,0.94887,1.7617,1.6922,0.41287,0.81439,0.77389,0.62206,0.62014,3.13296,1.02019,0.000792032,0.000792032,0.000792032
31,45.8555,0.83141,1.61535,1.57426,0.86017,0.66667,0.75637,0.7136,0.49091,2.10301,0.86289,0.000781033,0.000781033,0.000781033
32,47.2909,0.84625,1.64155,1.58297,0.85425,0.66667,0.81722,0.74446,0.53606,1.64433,0.91912,0.000770034,0.000770034,0.000770034
33,48.7145,0.87724,1.52326,1.58822,0.66032,0.85686,0.90333,0.79327,0.66496,1.62716,1.16649,0.000759035,0.000759035,0.000759035
34,50.1431,0.9041,1.60387,1.61285,0.53943,1,0.92357,0.73197,0.68246,2.16294,1.21348,0.000748036,0.000748036,0.000748036
35,51.5777,0.75541,1.54688,1.50247,0.60307,0.93333,0.94929,0.72418,0.73783,1.94354,1.32492,0.000737037,0.000737037,0.000737037
36,52.9734,0.82333,1.60254,1.56585,0.66181,0.88703,0.93944,0.75156,0.75454,1.76628,1.34723,0.000726038,0.000726038,0.000726038
37,54.3794,0.77464,1.55229,1.4899,0.65528,0.86333,0.86881,0.69552,0.76186,1.96192,1.33077,0.00071504,0.00071504,0.00071504
38,55.8031,0.81185,1.53234,1.54737,0.65528,0.86333,0.86881,0.69552,0.76186,1.96192,1.33077,0.000704041,0.000704041,0.000704041
39,57.3106,0.76778,1.49705,1.50573,0.66645,0.86667,0.88406,0.74137,0.63638,2.24475,1.14714,0.000693042,0.000693042,0.000693042
40,58.7302,0.86342,1.48113,1.60074,0.70034,0.8602,0.86183,0.72804,0.5262,2.42233,0.93643,0.000682043,0.000682043,0.000682043
41,60.1729,0.87886,1.58244,1.61957,0.62064,0.87827,0.88028,0.79569,0.47804,2.28934,0.86322,0.000671044,0.000671044,0.000671044
42,61.6011,0.74991,1.4771,1.52496,0.60264,0.98671,0.83873,0.75486,0.59259,1.87038,1.04159,0.000660045,0.000660045,0.000660045
43,63.0462,0.77496,1.46797,1.51423,0.6802,0.93333,0.8654,0.74569,0.68868,1.81024,1.19132,0.000649046,0.000649046,0.000649046
44,64.4627,0.7657,1.42914,1.47873,0.70692,0.8892,0.88444,0.76283,0.72802,1.89969,1.20456,0.000638047,0.000638047,0.000638047
45,65.894,0.74611,1.46181,1.49332,0.71366,0.93333,0.89659,0.77376,0.75365,1.79832,1.18504,0.000627048,0.000627048,0.000627048
46,67.2966,0.71994,1.45811,1.47643,0.71366,0.93333,0.89659,0.77376,0.75365,1.79832,1.18504,0.000616049,0.000616049,0.000616049
